ward,number_of_household,total_population,total_population_males,total_population_females,person_aged_0_6,literate_population,literate_population_males,literate_population_females,iletrate_population,iletrate_population_males,iletrate_population_females,total_worker_population,total_worker_population_males,total_worker_population_females,non_working_population,non_working_population_males,non_working_population_females,literacy_rate,Region,lat,long,postal_code,Unnamed: 23,localities
125,11297,44850,22611,22239,3282,38451,19742,18709,6399,2869,3530,16876,12929,3947,27974,9682,18292,92.5,Kolkata,22.473275,88.301694,"700 008, 700 061,700 063",,"Barisha,Netradeep Eye Hospital Sakher Bazar, Purba Barisha, Nagen Das Park Vidyasagar Purba Barisha,James Long Sarani-Thakurpur,Thakurpukur,Sarsuna,Behala Mauza Maheshtala,Bakultala Behala"
126,8247,31631,15756,15875,1983,27803,14091,13712,3828,1665,2163,11880,9213,2667,19751,6543,13208,93.78,Kolkata,22.473275,88.297694,"700 008, 700 061, 700 063",,"Barisha,Netradeep Eye Hospital Sakher Bazar, Purba Barisha, Nagen Das Park Vidyasagar Purba Barisha,James Long Sarani-Thakurpur,Thakurpukur,Sarsuna,Behala Mauza Maheshtala,Bakultala Behala"
127,11221,43782,21920,21862,3225,37238,19143,18095,6544,2777,3767,16745,12886,3859,27037,9034,18003,91.82,Kolkata,22.478235,88.288694,"700 061, 700 063",,"James Long Sarani-Thakurpur,Thakurpukur,Sarsuna,Behala Mauza Maheshtala,Bakultala Behala"
128,8405,32179,16041,16138,2011,27957,14218,13739,4222,1823,2399,11855,9174,2681,20324,6867,13457,92.67,Kolkata,22.488345,88.297694,"700 061, 700 063",,"James Long Sarani-Thakurpur,Thakurpukur,Sarsuna,Behala Mauza Maheshtala,Bakultala Behala"
129,10206,39654,19797,19857,2686,34217,17522,16695,5437,2275,3162,15287,11659,3628,24367,8138,16229,92.56,Kolkata,22.496735,88.297694,"700 060, 700 061",,"Parnasree Behala,Wwmmc - DGS Medical Centre Parnasree Behala,Parnasree Pally,sarsuna,behala mauza maheshtala"
13,7292,33066,17633,15433,2589,25414,13920,11494,7652,3713,3939,14344,11357,2987,18722,6276,12446,83.39,Kolkata,22.594167,88.385889,700 067,,"Ultadanga,daspara ultadanga, Bagmari Park And Play Ground Bagmari"
130,6150,23227,11327,11900,1206,21040,10420,10620,2187,907,1280,8851,6428,2423,14376,4899,9477,95.55,Kolkata,22.498125,88.310694,700 034,,"Diamond Harbour Road-Behala,behala,Bakshi Bagan Behala"
131,8284,30911,15480,15431,1951,27073,13827,13246,3838,1653,2185,11937,9006,2931,18974,6474,12500,93.48,Kolkata,22.508135,88.301694,700 060,,"Parnasree Behala,Wwmmc - DGS Medical Centre Parnasree Behala,Parnasree Pally"
132,6722,26274,13320,12954,1862,22043,11514,10529,4231,1806,2425,10740,7914,2826,15534,5406,10128,90.3,Kolkata,22.507865,88.314694,"700 060, 700 034",,"Diamond Harbour Road-Behala,behala,Bakshi Bagan Behala,Parnasree Behala,Wwmmc - DGS Medical Centre Parnasree Behala,Parnasree Pally"
133,5306,25588,13294,12294,2409,19349,10421,8928,6239,2873,3366,9278,7822,1456,16310,5472,10838,83.48,Kolkata,22.538111,88.286556,700 024,,"Garden Reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala,Garden Reach Maternity Hospital Southern Generating Station CESC Garden Reach,Garden Reach State General Hospital Badartala"
134,6281,35780,18730,17050,3951,23474,12868,10606,12306,5862,6444,11829,10105,1724,23951,8625,15326,73.75,Kolkata,22.545111,88.291556,700 024,,"Garden Reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala"
135,5911,33258,17553,15705,3536,22513,12259,10254,10745,5294,5451,11248,9675,1573,22010,7878,14132,75.75,Kolkata,22.546806,88.284556,700 024,,"Garden Reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala"
136,4485,21482,11022,10460,2034,16532,8746,7786,4950,2276,2674,7228,6205,1023,14254,4817,9437,85.01,Kolkata,22.539806,88.281556,700 018,,"Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala"
137,3373,19385,10507,8878,2318,13511,7584,5927,5874,2923,2951,6243,5561,682,13142,4946,8196,79.16,Kolkata,22.548806,88.273556,"700 024, 700 044",,"Garden Reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala"
138,4629,28858,15581,13277,3575,19890,11139,8751,8968,4442,4526,10786,9507,1279,18072,6074,11998,78.67,Kolkata,22.548806,88.268556,700 018,,"Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala"
139,6937,42014,22225,19789,5240,28523,15728,12795,13491,6497,6994,15017,12865,2152,26997,9360,17637,77.56,Kolkata,22.539806,88.267556,"700 018, 700 024",,"garden reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala"
14,12387,53343,27064,26279,4076,43290,22668,20622,10053,4396,5657,22096,17354,4742,31247,9710,21537,87.87,Kolkata,22.589278,88.385556,700 067,,"Ultadanga,daspara ultadanga, Bagmari Park And Play Ground Bagmari"
140,5004,30504,16074,14430,3889,21273,11698,9575,9231,4376,4855,11744,10097,1647,18760,5977,12783,79.93,Kolkata,22.546806,88.261556,"700 018, 700 044",,"Garden Reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala, Matiaburj College Masjid Talab Basti Metiabruz"
141,7755,41152,21452,19700,5383,26880,14459,12421,14272,6993,7279,14647,12194,2453,26505,9258,17247,75.15,Kolkata,22.554417,88.254556,"700 018, 700 044",,"Garden Reach,Punjab National Bank - Garden Reach Branch Masjid Talab Basti Metiabruz,metiabruz Super-Speciality Hospital Badartala,Haji Ratan Multipurpose High School (HS) Madrasa Basti Metiabruz"
15,5397,23922,12641,11281,1633,19812,10790,9022,4110,1851,2259,9947,7804,2143,13975,4837,9138,88.89,Kolkata,22.590278,88.376556,700 009,,"Raja Bazar,Sealdah, Bandhan Bank Simla Machuabazar,Children International Garpar Machuabazar,the Leprosy Mission: Premananda Memorial Leprosy Hospital Garpar Machuabazar,SIP Abacus Sealdah Baithakkhana"
16,4230,20904,10767,10137,1164,17493,9244,8249,3411,1523,1888,8871,6901,1970,12033,3866,8167,88.62,Kolkata,22.591278,88.371361,700 009,,"Raja Bazar,Sealdah, Bandhan Bank Simla Machuabazar,Children International Garpar Machuabazar,the Leprosy Mission: Premananda Memorial Leprosy Hospital Garpar Machuabazar,SIP Abacus Sealdah Baithakkhana"
17,4895,21023,10824,10199,1160,18333,9533,8800,2690,1291,1399,8340,6684,1656,12683,4140,8543,92.3,Kolkata,22.595378,88.365556,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua"
18,5525,22267,10738,11529,1336,16477,8999,7478,5790,1739,4051,7746,6381,1365,14521,4357,10164,78.72,Kolkata,22.593667,88.362861,700 004,,"hati bagan , Sovabazar Metro Station,maniktala,Fariapukur Shyam Bazar,R G Kar Medical College and Hospital Bidhan Sarani Shyam Bazar"
19,4593,21158,11467,9691,1363,17675,9819,7856,3483,1648,1835,9126,7297,1829,12032,4170,7862,89.29,Kolkata,22.595667,88.357667,700 004,,"hati bagan , Sovabazar Metro Station,maniktala,Fariapukur Shyam Bazar,R G Kar Medical College and Hospital Bidhan Sarani Shyam Bazar"
2,11305,48190,24381,23809,2575,42986,22159,20827,5204,2222,2982,17851,13309,4542,30339,11072,19267,94.24,Kolkata,22.628056,88.384444,"700030, 700050",,"Biswanath Colony Sinthi, Dum Dum Junction,Purba Sinthi South Dum Dum,Seth Bagan Place South Dum Dum,Roy Para Sinthi, Biswanath Colony Sinthi, B T Road,More Shopping Mall Sadhan Pally Baranagar"
20,4310,21576,12180,9396,1629,17140,9837,7303,4436,2343,2093,9031,7626,1405,12545,4554,7991,85.93,Kolkata,22.593556,88.354667,700 049,,"Kalyani,north dum dum,Rabindra Nagar Nimta,Alipore Nimta, Diri Para Nimta"
21,4304,21187,13127,8060,1295,16016,9693,6323,5171,3434,1737,10355,9286,1069,10832,3841,6991,80.51,Kolkata,22.592167,88.352472,700 047,,"naktala,garia,ganguli bagan"
22,2884,15730,9847,5883,734,12757,7799,4958,2973,2048,925,7308,6796,512,8422,3051,5371,85.07,Kolkata,22.586861,88.351667,700 007,,"Jorasanko,Barabazar Market,Maheshwari Balika Vidyalaya Radha Kunj Bara Bazar Jorasanko,College Street Market Area College Street,College Street Market Bow Bazaar,College Street bata College Street,Girish Park"
23,3338,18256,10901,7355,1032,13459,7558,5901,4797,3343,1454,7319,6598,721,10937,4303,6634,78.14,Kolkata,22.584667,88.356667,700 007,,"Jorasanko,Barabazar Market,Maheshwari Balika Vidyalaya Radha Kunj Bara Bazar Jorasanko,College Street Market Area College Street,College Street Market Bow Bazaar,College Street bata College Street,Girish Park"
24,3842,19824,12264,7560,1073,13719,8073,5646,6105,4191,1914,8972,7990,982,10852,4274,6578,73.16,Kolkata,22.588472,88.356361,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Girish Park"
25,5838,27484,14992,12492,1556,22167,12250,9917,5317,2742,2575,11289,9693,1596,16195,5299,10896,85.49,Kolkata,22.587761,88.361251,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan,girish park"
26,5659,25371,13692,11679,1674,19513,10816,8697,5858,2876,2982,10642,8644,1998,14729,5048,9681,82.34,Kolkata,22.58725,88.365028,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan"
27,4352,19350,10271,9079,1045,16144,8525,7619,3206,1746,1460,7882,6572,1310,11468,3699,7769,88.19,Kolkata,22.58525,88.372333,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan"
28,7223,38110,20788,17322,3169,27738,15256,12482,10372,5532,4840,14740,12871,1869,23370,7917,15453,79.39,Kolkata,22.58025,88.375833,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan"
29,9047,53782,28942,24840,5550,34094,18717,15377,19688,10225,9463,20558,17221,3337,33224,11721,21503,70.69,Kolkata,22.57925,88.379833,700 011,,"Narkeldanga,raja bazar"
3,11617,53855,27636,26219,4358,42933,22789,20144,10922,4847,6075,19987,15778,4209,33868,11858,22010,86.74,Kolkata,22.604444,88.383333,700 037,,"Paikpara,Gangulipara Paikpara,BioCluster - The Study Center for Life Science Milk Colony Belgachia,belgachia Muslim High School Belgachia"
30,6747,30050,15649,14401,2038,24849,13423,11426,5201,2226,2975,11938,8795,3143,18112,6854,11258,88.71,Kolkata,22.57625,88.387528,700 011,,"Narkeldanga,raja bazar"
31,8800,39025,20995,18030,3186,31638,17589,14049,7387,3406,3981,15498,13028,2470,23527,7967,15560,88.28,Kolkata,22.579861,88.388917,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan,girish park"
32,10708,45636,22931,22705,3189,32145,16912,15233,13491,6019,7472,18578,13378,5200,27058,9553,17505,75.73,Kolkata,22.582861,88.391917,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan,girish park"
33,11095,45919,22818,23101,2873,39247,20061,19186,6672,2757,3915,18932,14197,4735,26987,8621,18366,91.17,Kolkata,22.564861,88.399306,700 010,,"Phool Bagan,Indian Overseas Bank - Phool Bagan Branch Beliaghata,Beliaghata Main Road - NRS Hospital,Beleghata Deshabandhu High School (Main) Subhas Sarobar Park Beliaghata,State Bank of India Beliaghata"
34,7611,29773,14797,14976,1702,26079,13302,12777,3694,1495,2199,12371,9592,2779,17402,5205,12197,92.9,Kolkata,22.564861,88.389306,700 010,,"Phool Bagan,Indian Overseas Bank - Phool Bagan Branch Beliaghata,Beliaghata Main Road - NRS Hospital,Beleghata Deshabandhu High School (Main) Subhas Sarobar Park Beliaghata,State Bank of India Beliaghata"
35,8524,35024,17481,17543,1950,30244,15458,14786,4780,2023,2757,14070,10949,3121,20954,6532,14422,91.44,Kolkata,22.567861,88.384306,700 010,,"Phool Bagan,Indian Overseas Bank - Phool Bagan Branch Beliaghata,Beliaghata Main Road - NRS Hospital,Beleghata Deshabandhu High School (Main) Subhas Sarobar Park Beliaghata,State Bank of India Beliaghata"
36,4574,27238,16743,10495,2142,16648,10366,6282,10590,6377,4213,12888,11035,1853,14350,5708,8642,66.34,Kolkata,22.566861,88.376972,"700 009, 700 010",,"College Street Market Bow Bazaar, Bank of India College Row College Street,Calcutta National Medical College & Hospital Raja Bazar,Phool Bagan,Indian Overseas Bank - Phool Bagan Branch Beliaghata,Beliaghata Main Road - NRS Hospital,Beleghata Deshabandhu High School (Main) Subhas Sarobar Park Beliaghata,State Bank of India Beliaghata"
37,4688,24020,14057,9963,1627,17717,10356,7361,6303,3701,2602,10546,9167,1379,13474,4890,8584,79.12,Kolkata,22.574861,88.369861,700 009,,"College Street Market Bow Bazaar, Bank of India College Row College Street,Calcutta National Medical College & Hospital Raja Bazar"
38,6500,28791,16196,12595,1862,23097,13254,9843,5694,2942,2752,12780,10802,1978,16011,5394,10617,85.77,Kolkata,22.579167,88.370861,700 009,,"College Street Market Bow Bazaar, Bank of India College Row College Street,Calcutta National Medical College & Hospital Raja Bazar"
39,3716,21296,12165,9131,2082,14078,8235,5843,7218,3930,3288,7869,7163,706,13427,5002,8425,73.27,Kolkata,22.579667,88.362861,700 007,,"Jorasanko,Barabazar Market,Maheshwari Balika Vidyalaya Radha Kunj Bara Bazar Jorasanko,College Street Market Area College Street,College Street Market Bow Bazaar,College Street bata College Street,Girish Park"
4,8558,34476,17403,17073,2144,28864,15071,13793,5612,2332,3280,13737,10195,3542,20739,7208,13531,89.27,Kolkata,22.613056,88.379444,700 002/ 700 037,,"adarsh Madhyamik Vidyalaya Ghosh Bagan Chitpur,amrex marketing Chitpur,Industrial Electropower Chitpur B B D Bagh,The Leprosy Mission: Premananda Memorial Leprosy Hospital Chitpur B B D Bagh,Paikpara Kumar Ashutosh Institution MIG Housing Tala,Tala Jheel Park Kolkata Tala,Sahid Colony Paikpara,Gangulipara Paikpara"
40,4733,20549,11771,8778,871,17345,9806,7539,3204,1965,1239,9202,7829,1373,11347,3942,7405,88.14,Kolkata,22.575461,88.364361,700 007,,"Jorasanko,Barabazar Market,Maheshwari Balika Vidyalaya Radha Kunj Bara Bazar Jorasanko,College Street Market Area College Street,College Street Market Bow Bazaar,College Street bata College Street,Girish Park"
41,3425,19946,11540,8406,1411,15483,9142,6341,4463,2398,2065,8701,7574,1127,11245,3966,7279,83.53,Kolkata,22.582278,88.359167,700 006,,"Mayo Hospital Jorabagan,Girish Park,Holy Child Institute Azad Hind Bag,The Scottish Church Collegiate School Goa Bagan Maniktala,Bara Bazar,Darjipara Hedua,Jatin Moitra Park Darjipara Hedua,Manicktala ESI Hospital Kolkata Ghose Bagan"
43,2878,17677,10899,6778,1429,12920,7714,5206,4757,3185,1572,7268,6427,841,10409,4472,5937,79.52,Kolkata,22.576889,88.359167,700 073,,"Kolutolla,Nagarik Swasthya Sangha Bara Bazar,College Square,Medical College And Hospital Calcutta Medical College College Square,"
44,5043,29600,17727,11873,2384,21525,12827,8698,8075,4900,3175,11257,9998,1259,18343,7729,10614,79.09,Kolkata,22.574889,88.357361,700 007,,"Jorasanko,Barabazar Market,Maheshwari Balika Vidyalaya Radha Kunj Bara Bazar Jorasanko,College Street Market Area College Street,College Street Market Bow Bazaar,College Street bata College Street,Girish Park"
42,3749,21746,15827,5919,1018,15550,10683,4867,6196,5144,1052,13767,12267,1500,7979,3560,4419,75.02,Kolkata,22.580313,88.352673,700 007,,"Jorasanko,Barabazar Market,Maheshwari Balika Vidyalaya Radha Kunj Bara Bazar Jorasanko,College Street Market Area College Street,College Street Market Bow Bazaar,College Street bata College Street,Girish Park"
46,2316,12823,7684,5139,956,10132,6209,3923,2691,1475,1216,5804,5085,719,7019,2599,4420,85.38,Kolkata,22.56725,88.350722,700 069,,"Esplanade,Jagaran Microfin Pvt. Ltd. Chowringhee North Bow Barracks,Esplanade Metro Rail Station"
47,3271,14684,8427,6257,969,12052,7085,4967,2632,1342,1290,6512,5388,1124,8172,3039,5133,87.87,Kolkata,22.56825,88.359611,700 012,,"INOX Hind - Ganesh Chandra Avenue Chandni Chawk Bow Bazaar,Lalbajar College Square,Tiretti,Craig Park (Bipin Behari Ganguly Park) Halisahar,Winter Bhutia Market Wellington Bow Bazaar,Kopalitola Park Bow Bazaar"
48,4671,20437,11128,9309,964,15975,9012,6963,4462,2116,2346,10702,7717,2985,9735,3411,6324,82.04,Kolkata,22.56972,88.36306,700 012,,"INOX Hind - Ganesh Chandra Avenue Chandni Chawk Bow Bazaar,Lalbajar College Square,Tiretti,Craig Park (Bipin Behari Ganguly Park) Halisahar,Winter Bhutia Market Wellington Bow Bazaar,Kopalitola Park Bow Bazaar"
49,3965,19416,13511,5905,667,12283,7986,4297,7133,5525,1608,12036,10552,1484,7380,2959,4421,65.51,Kolkata,22.568235,88.367611,700 012,,"INOX Hind - Ganesh Chandra Avenue Chandni Chawk Bow Bazaar,Lalbajar College Square,Tiretti,Craig Park (Bipin Behari Ganguly Park) Halisahar,Winter Bhutia Market Wellington Bow Bazaar,Kopalitola Park Bow Bazaar"
5,5815,23707,12243,11464,1585,19980,10698,9282,3727,1545,2182,8499,6784,1715,15208,5459,9749,90.32,Kolkata,22.608889,88.379694,700 002,,"adarsh Madhyamik Vidyalaya Ghosh Bagan Chitpur,amrex marketing Chitpur,Industrial Electropower Chitpur B B D Bagh"
50,3791,17251,9087,8164,889,14513,7788,6725,2738,1299,1439,7434,5708,1726,9817,3379,6438,88.7,Kolkata,22.5659,88.3633,700 012,,"INOX Hind - Ganesh Chandra Avenue Chandni Chawk Bow Bazaar,Lalbajar College Square,Tiretti,Craig Park (Bipin Behari Ganguly Park) Halisahar,Winter Bhutia Market Wellington Bow Bazaar,Kopalitola Park Bow Bazaar"
51,3273,13556,7164,6392,718,11941,6476,5465,1615,688,927,5705,4611,1094,7851,2553,5298,93.01,Kolkata,22.565245,88.362611,700 012,,"INOX Hind - Ganesh Chandra Avenue Chandni Chawk Bow Bazaar,Lalbajar College Square,Tiretti,Craig Park (Bipin Behari Ganguly Park) Halisahar,Winter Bhutia Market Wellington Bow Bazaar,Kopalitola Park Bow Bazaar"
52,3304,16869,10205,6664,1289,13427,8353,5074,3442,1852,1590,7104,6439,665,9765,3766,5999,86.18,Kolkata,22.558245,88.356611,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
53,5405,25598,13862,11736,1670,21412,11829,9583,4186,2033,2153,10460,8332,2128,15138,5530,9608,89.49,Kolkata,22.558245,88.361611,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
54,6666,36235,18937,17298,3365,26986,14467,12519,9249,4470,4779,13381,11274,2107,22854,7663,15191,82.1,Kolkata,22.558685,88.368611,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
55,6745,32254,17450,14804,2502,25243,14019,11224,7011,3431,3580,12189,9790,2399,20065,7660,12405,84.84,Kolkata,22.554245,88.372811,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
56,8941,43622,23018,20604,3426,34379,18889,15490,9243,4129,5114,16780,13305,3475,26842,9713,17129,85.53,Kolkata,22.55525,88.378611,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
57,11051,49856,26142,23714,4414,36444,20201,16243,13412,5941,7471,20646,15992,4654,29210,10150,19060,80.2,Kolkata,22.559333,88.389611,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
58,20093,88465,46207,42258,9277,58873,33032,25841,29592,13175,16417,34445,27137,7308,54020,19070,34950,74.35,Kolkata,22.543333,88.39725,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
59,15157,70261,36341,33920,6660,51132,27448,23684,19129,8893,10236,27731,21839,5892,42530,14502,28028,80.39,Kolkata,22.545333,88.377125,700 046,,"topsia,beniapukur,park circus ,tangra,kustia"
6,8855,42346,22977,19369,3962,31137,17888,13249,11209,5089,6120,15341,12924,2417,27005,10053,16952,81.12,Kolkata,22.610863,88.371213,700 002,,"adarsh Madhyamik Vidyalaya Ghosh Bagan Chitpur,amrex marketing Chitpur,Industrial Electropower Chitpur B B D Bagh"
60,6755,35732,18964,16768,3304,26457,14319,12138,9275,4645,4630,13273,10785,2488,22459,8179,14280,81.59,Kolkata,22.547333,88.369325,700 014,,"Ladies Park Beniapukur,Dharmatala Taltala, IDBI Bank Entally Branch & ATM Maula Ali Taltala,Ripon Street,Park Circus Maidan Beniapukur,Entally"
61,5447,29704,15954,13750,2678,21768,11932,9836,7936,4022,3914,10846,8673,2173,18858,7281,11577,80.54,Kolkata,22.549639,88.35925,700 016,,"Ripon Street Triangular Park Taltala,ICICI Bank Chowringhee Road Kolkata-Branch & ATM Park Street Area,St. Xavier's Collegiate School Primary Section Gate 1 Mullick Bazar Park Street Area,More Supermarket - ELLIOT ROAD,Belgian Waffle Junction Camac Street Elgin"
62,6400,34832,18736,16096,3395,27049,15014,12035,7783,3722,4061,12614,10615,1999,22218,8121,14097,86.04,Kolkata,22.554839,88.360625,700 016,,"Ripon Street Triangular Park Taltala,ICICI Bank Chowringhee Road Kolkata-Branch & ATM Park Street Area,St. Xavier's Collegiate School Primary Section Gate 1 Mullick Bazar Park Street Area,More Supermarket - ELLIOT ROAD,Belgian Waffle Junction Camac Street Elgin"
63,4674,24387,14292,10095,1376,19419,11272,8147,4968,3020,1948,10924,9249,1675,13463,5043,8420,84.39,Kolkata,22.546639,88.352444,700 016,,"Ripon Street Triangular Park Taltala,ICICI Bank Chowringhee Road Kolkata-Branch & ATM Park Street Area,St. Xavier's Collegiate School Primary Section Gate 1 Mullick Bazar Park Street Area,More Supermarket - ELLIOT ROAD,Belgian Waffle Junction Camac Street Elgin"
64,6342,31280,16652,14628,2755,24307,13311,10996,6973,3341,3632,12124,9876,2248,19156,6776,12380,85.21,Kolkata,22.541217,88.364333,700 017,,"Elgin,Axis Bank Branch Beck Bagan,Mullick Bazar Park Street Area,Ac Market Shakespeare Sarani Kankaria Estates Park Street Area"
65,14092,72427,38317,34110,6400,53744,29392,24352,18683,8925,9758,27244,21813,5431,45183,16504,28679,81.4,Kolkata,22.531667,88.368444,700 029,,"Lake Mall Lake Market Kalighat, Manoharpukur Kalighat,Deshapriya Park Kalighat,Sishu Mangal Hospital Hazra Kalighat,Lake Market Kalighat,Lake View High School Kankulia Dhakuria"
66,20797,98024,51138,46886,11526,70021,37719,32302,28003,13419,14584,34821,28538,6283,63203,22600,40603,80.95,Kolkata,22.531861,88.385444,700 039,,"Picnic Garden,Kustia,tiljala,Tagore Park,Naskarhat"
67,13631,56284,28910,27374,4060,46753,24890,21863,9531,4020,5511,23116,17447,5669,33168,11463,21705,89.52,Kolkata,22.523889,88.376444,700 107,,"Ruby General Hospital Sector I East Kolkata Township,Madurdaha Hussainpur,TOLLY LIONS DIALYSIS CENTRE Madurdaha Hussainpur,Kalikapur Kolkata,Rajdanga Gardens Kasba"
68,4812,20724,10434,10290,1036,17888,9229,8659,2836,1205,1631,8625,6083,2542,12099,4351,7748,90.86,Kolkata,22.521889,88.368472,700 019,,"Dover Terrace Ballygunge,disha Eye Hospital Gariahat Ekdalia Ballygunge,Ballygunge,Hindustan Park Gariahat"
69,9615,44111,22906,21205,3283,35139,19005,16134,8972,3901,5071,19528,14388,5140,24583,8518,16065,86.07,Kolkata,22.529889,88.359472,700 029,,"Lake Mall Lake Market Kalighat, Manoharpukur Kalighat,Deshapriya Park Kalighat,Sishu Mangal Hospital Hazra Kalighat,Lake Market Kalighat,Lake View High School Kankulia Dhakuria"
7,4240,19180,9942,9238,961,15969,8495,7474,3211,1447,1764,8044,6162,1882,11136,3780,7356,87.65,Kolkata,22.603567,88.365806,700 003,,"shayambazar, bagbazar,S.D's Nurses And Aya Center Hati Bagan Shyambazar"
70,3879,18618,9750,8868,935,16657,8834,7823,1961,916,1045,7520,6034,1486,11098,3716,7382,94.2,Kolkata,22.537889,88.350472,700 020,,"Bhowanipore,IPGME&R and SSKM Hospital S S K M Hospital Bhowanipore,Balwant Singh Dhaba Bhowanipore,Federal Bank Sreepally Bhowanipore,Belle Vue Clinic Minto Park Elgin"
71,6266,29922,15550,14372,1577,26081,13933,12148,3841,1617,2224,11790,9317,2473,18132,6233,11899,92.01,Kolkata,22.532889,88.343472,700 020,,"Bhowanipore,IPGME&R and SSKM Hospital S S K M Hospital Bhowanipore,Balwant Singh Dhaba Bhowanipore,Federal Bank Sreepally Bhowanipore,Belle Vue Clinic Minto Park Elgin"
72,4306,19167,10160,9007,995,16366,8807,7559,2801,1353,1448,8488,6551,1937,10679,3609,7070,90.06,Kolkata,22.528583,88.348472,700 020,,"Bhowanipore,IPGME&R and SSKM Hospital S S K M Hospital Bhowanipore,Balwant Singh Dhaba Bhowanipore,Federal Bank Sreepally Bhowanipore,Belle Vue Clinic Minto Park Elgin"
73,5260,23512,12541,10971,1329,19805,10866,8939,3707,1675,2032,10093,7601,2492,13419,4940,8479,89.28,Kolkata,22.527889,88.343472,700 026,,"Mudiali Kalighat,Lake Range Kalighat,South Calcutta Dental Clinic Sahanagar Kalighat,Lighthouse For The Blind Sahanagar Kalighat"
