ward,number_of_household,total_population,total_population_males,total_population_females,person_aged_0_6,literate_population,literate_population_males,literate_population_females,iletrate_population,iletrate_population_males,iletrate_population_females,total_worker_population,total_worker_population_males,total_worker_population_females,non_working_population,non_working_population_males,non_working_population_females,literacy_rate,Region,lat,long,postal_code,Unnamed: 23,localities
93,11871,44364,22176,22188,2798,37950,19453,18497,6414,2723,3691,18701,12843,5858,25663,9333,16330,91.3,Kolkata,22.504833,88.363694,"700 068, 700 045,700 032,700 095",,"Mrs. Wilson's Cafe Jodhpur Park,DR. PRADEEP SAHA'S MIRACLE INSTITUTE OF PSYCHIATRY Jodhpur Park,Jodhpur Park Boys School Jodhpur Park,Jodhpur Park,St. Sebastian's School Jodhpur Gardens Lake Gardens,Axis Bank Branch Lake Gardens,ANUBHAV POSITIVE PSYCHOLOGY CLINIC Lake Market Kalighat,Lake Gardens,Samaj Garh Park Bijoygarh,poddar nagar jadavpur,Jadavpur University Campus Area,Golf Gardens Tollygunge,Golf Green,Royal bengal tiger café Golf Green,ONGC Officers Club Golf Green,Tollygunge Golf Club Tollygunge"
94,7121,27469,13918,13551,1847,22831,12012,10819,4638,1906,2732,11527,8248,3279,15942,5670,10272,89.11,Kolkata,22.497833,88.351694,"700 033,700 095",,"Golf Gardens Tollygunge,Golf Green,Royal bengal tiger café Golf Green,ONGC Officers Club Golf Green"
95,7651,26737,13212,13525,1314,24306,12185,12121,2431,1027,1404,10208,7503,2705,16529,5709,10820,95.61,Kolkata,22.492833,88.361694,"700 032, 700 040,700 095",,"Regent Colony Regent Park,jadavpur,poddar nagar jadavpur,Jadavpur University Campus Area,Jadabpur,Jadavpur N K Pal Adarsha Sikshayatan (H.S) Viveknagar,Golf Gardens Tollygunge,Golf Green,Royal bengal tiger café Golf Green,ONGC Officers Club Golf Green,Tollygunge Golf Club Tollygunge,Ashok Nagar Park Shantigarh Tollygunge"
96,8893,31033,15357,15676,1488,28533,14201,14332,2500,1156,1344,11743,8653,3090,19290,6704,12586,96.57,Kolkata,22.489833,88.370694,"700 092, 700 032",,"jadavpur,poddar nagar jadavpur,Jadavpur University Campus Area,Jadabpur,Jadavpur N K Pal Adarsha Sikshayatan (H.S) Viveknagar,ganguly bagan,ananda pally"
97,10222,37199,18613,18586,2073,33230,16883,16347,3969,1730,2239,15205,11035,4170,21994,7578,14416,94.6,Kolkata,22.487833,88.348694,700 040,,"Tollygunge Golf Club Tollygunge,Ashok Nagar Park Shantigarh Tollygunge,Regent Colony Regent Park, Regent Park Regent Colony Shantigarh Tollygunge, Dreamzone - Tollygunge Regent Colony Shantigarh Tollygunge"
98,8904,31708,15406,16302,1721,28859,14184,14675,2849,1222,1627,11890,8844,3046,19818,6562,13256,96.24,Kolkata,22.481833,88.359694,"700 092,700 040,700 047",,"Baghajatin Park Pancha Sayar,Netaji Nagar,Sree Colony Bijoygarh,Vestige Mini DLCP Bapuji Nagar Jadavpur,Tollygunge Golf Club Tollygunge,Ashok Nagar Park Shantigarh Tollygunge,Regent Colony Regent Park, Regent Park Regent Colony Shantigarh Tollygunge, Dreamzone - Tollygunge Regent Colony Shantigarh Tollygunge,naktala,garia,ganguli bagan,Wowkids Kiddie Momentz - Best Preschool near Naktala Naktala"
99,7222,26739,13305,13434,1519,24158,12172,11986,2581,1133,1448,10493,7986,2507,16246,5319,10927,95.79,Kolkata,22.481833,88.371694,"700 092, 700 047, 700 086",,"Baghajatin Park Pancha Sayar,Netaji Nagar,Sree Colony Bijoygarh,Vestige Mini DLCP Bapuji Nagar Jadavpur,naktala,garia,ganguli bagan,Wowkids Kiddie Momentz - Best Preschool near Naktala Naktala,baghajatin,Bagha Jatin Pally,J Block Children Park Block J Bagha Jatin Pally Baghajatin"
1,4558,19148,10347,8801,2046,13917,8122,5795,5231,2225,3006,8769,6717,2052,10379,3630,6749,81.38,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town"
10,1279,5472,2669,2803,266,5033,2484,2549,439,185,254,2100,1413,687,3372,1256,2116,96.68,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Keshtopur,Sulanggari Rajarhat"
11,981,4770,2412,2358,243,4306,2225,2081,464,187,277,1647,1298,349,3123,1114,2009,95.12,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Indra Gopal High School Hatiara Extention Hatiara,Sonali Store And Dipayan Fation Store Hatiara Rajarhat"
